RHOB,GR,NPHI,PEF,DTC,cluster
-1.491843,-0.179292,2.523654,-1.255364,0.869531,0
-1.387067,-0.010859,2.770744,-1.247886,0.690042,0
-1.320646,0.028875,2.524300,-1.247450,0.554350,0
-1.274390,-0.008126,2.068584,-1.261572,0.585297,0
-1.335919,-0.092056,1.617342,-1.325067,0.752808,0
-1.541988,-0.226514,1.245981,-1.395320,0.948455,0
-1.814704,-0.330693,1.073092,-1.447162,1.153114,0
-2.040411,-0.353688,1.204599,-1.461533,1.348404,0
-2.107929,-0.309202,1.358895,-1.429570,1.381713,0
-1.982950,-0.267799,1.569024,-1.370707,1.195255,0
-1.742465,-0.196024,2.008476,-1.317900,1.031452,0
-1.582113,-0.094149,2.294253,-1.304531,1.025273,0
-1.575427,-0.000951,1.982595,-1.278785,1.041289,0
-1.604276,0.063326,1.166651,-1.257714,1.069238,0
-1.516998,0.080420,0.636519,-1.251951,1.072895,0
-1.422767,0.083139,0.765567,-1.247170,0.953376,0
-1.378469,0.036234,1.072635,-1.231637,0.844297,0
-1.393660,0.003794,1.133276,-1.246838,0.899352,0
-1.428982,-0.010334,0.998843,-1.289774,1.045680,0
-1.495830,0.038780,1.056157,-1.312944,1.189302,0
-1.572310,0.113399,1.276139,-1.299451,1.250095,0
-1.584703,0.105533,1.374012,-1.277726,1.169349,0
-1.547887,0.093966,1.377825,-1.283010,1.069287,0
-1.489759,0.048158,1.404367,-1.281492,0.951478,0
-1.428908,0.045176,1.469431,-1.260113,0.858475,0
-1.353713,0.133908,1.416517,-1.239202,0.802278,0
-1.319529,0.222082,1.036711,-1.248644,0.749901,0
-1.347866,0.293922,0.643104,-1.273171,0.758118,0
-1.411371,0.211108,0.473173,-1.285773,0.826092,0
-1.453110,0.107486,0.458863,-1.278633,0.845681,0
-1.449737,-0.021242,0.377623,-1.281409,0.848683,0
-1.423968,-0.174059,0.257680,-1.328046,0.851139,0
-1.423842,-0.410247,0.349845,-1.392455,0.848402,0
-1.547900,-0.637986,0.555069,-1.431285,0.849882,0
-1.643151,-0.854867,0.638116,-1.434664,0.845783,0
-1.477562,-1.014340,0.568034,-1.408072,0.848611,0
-1.136533,-1.099184,0.551117,-1.401561,0.851124,0
-0.852960,-1.087002,0.595475,-1.415133,0.848501,0
-0.844710,-1.012387,0.814798,-1.428709,0.847202,0
-0.816513,-0.985227,1.161725,-1.422155,0.847217,0
-0.803484,-1.035636,1.427856,-1.396817,0.852418,0
-0.784976,-1.070697,1.427431,-1.377009,0.849870,0
-0.751303,-1.101875,1.236639,-1.368029,0.847203,0
-0.698097,-1.112615,1.079678,-1.376453,0.849763,0
-0.686756,-1.179400,0.989519,-1.382245,0.848573,0
-0.756866,-1.194683,0.955986,-1.389758,0.847203,0
-0.825634,-1.152340,0.857482,-1.407910,0.842130,0
-0.887105,-1.070159,0.882378,-1.451009,0.844431,0
-1.082417,-1.007157,0.899141,-1.489148,0.847216,0
-1.517148,-1.011080,0.954124,-1.503302,0.847204,0
-1.956480,-1.014546,1.044965,-1.494476,0.842210,0
-2.177896,-1.080495,1.233887,-1.477983,0.844349,0
-2.095844,-1.096847,1.451525,-1.474796,0.847215,0
-1.885107,-1.073191,1.495494,-1.477537,0.844729,0
-1.663641,-1.045385,1.526596,-1.479214,0.843292,0
-1.496316,-1.064072,1.569785,-1.460580,0.843280,0
-1.318123,-1.075990,1.444663,-1.432095,0.845707,0
-1.187374,-1.004592,1.155669,-1.423467,0.847215,0
-1.116798,-0.901537,0.972502,-1.473791,0.847205,0
-1.304604,-0.757224,1.003652,-1.514005,0.842396,0
-1.668652,-0.694769,1.265488,-1.533222,0.844165,0
-2.057366,-0.711469,1.540510,-1.505574,0.847214,0
-2.252415,-0.673164,1.718081,-1.462889,0.844823,0
-2.152164,-0.505352,1.801484,-1.426453,0.843291,0
-1.903518,-0.272767,1.839501,-1.406536,0.843281,0
-1.754728,-0.085952,1.722155,-1.382735,0.845614,0
-1.721505,-0.022330,1.263207,-1.345037,0.844847,0
-1.695331,-0.052613,0.729938,-1.321787,0.847947,0
-1.597771,0.012105,0.727463,-1.309871,0.846489,0
-1.524298,0.171342,1.247797,-1.294080,0.845573,0
-1.486319,0.260318,1.589597,-1.280568,0.842621,0
-1.511077,0.234960,1.646684,-1.269569,0.841649,0
-1.517917,0.112557,1.413790,-1.295354,0.847843,0
-1.576083,0.058871,1.363779,-1.322785,0.846591,0
-1.623706,0.006336,1.279805,-1.331782,0.843289,0
-1.634486,-0.013650,1.181791,-1.325468,0.843283,0
-1.650110,-0.036541,1.006346,-1.320327,0.847762,0
-1.735121,-0.110543,0.871456,-1.328670,0.846675,0
-1.749311,-0.200342,0.851765,-1.307685,0.843289,0
-1.632934,-0.219603,0.987669,-1.276811,0.843283,0
-1.419573,-0.261601,1.124116,-1.256058,0.845483,0
-1.327240,-0.218628,1.160399,-1.265725,0.847207,0
-1.353023,-0.100662,0.915244,-1.279537,0.845013,0
-1.389144,-0.053054,0.606953,-1.286996,0.843288,0
-1.404382,-0.170772,0.364076,-1.290660,0.843284,0
-1.414512,-0.341390,0.481341,-1.275700,0.847573,0
-1.432310,-0.358985,0.704245,-1.264111,0.846864,0
-1.414567,-0.327370,0.981793,-1.274562,0.843288,0
-1.392331,-0.132813,1.141398,-1.300340,0.843284,0
-1.443707,-0.154397,1.177064,-1.317560,0.841187,0
-1.502659,-0.064605,1.243591,-1.300114,0.843550,0
-1.513054,-0.039615,1.162905,-1.282987,0.840940,0
-1.440324,0.102376,1.130313,-1.281340,0.841633,0
-1.391632,0.002121,1.039296,-1.301861,0.841002,0
-1.425126,-0.057589,1.051374,-1.315005,0.839542,0
-1.500229,-0.088943,1.013748,-1.307534,0.843285,0
-1.508948,0.019263,0.826668,-1.295356,0.843287,0
-1.428690,-0.013081,0.587491,-1.279874,0.839245,0
-1.298266,-0.095267,0.580297,-1.255043,0.839458,0
-1.221780,-0.256421,0.881084,-1.235308,0.843286,0
-1.227466,-0.288849,1.128372,-1.211916,0.843286,0
-1.242551,-0.311011,1.204518,-1.211233,0.839326,0
-1.247326,-0.265941,0.933723,-1.208417,0.839378,0
-1.194152,-0.318444,0.864992,-1.192979,0.843286,0
-1.210982,-0.490867,1.024168,-1.181231,0.841340,0
