x,y,cluster
-3.400704,-0.528111,0
-3.406955,-0.351787,0
-3.196402,-0.298652,0
-2.968971,-0.316358,0
-2.866905,-0.389117,0
-2.878402,-0.542520,0
-3.021942,-0.692940,0
-3.289405,-0.771101,0
-3.412183,-0.761162,0
-3.352641,-0.707562,0
-3.365927,-0.593425,0
-3.437976,-0.464424,0
-3.304534,-0.392179,0
-2.949151,-0.355945,0
-2.657946,-0.322306,0
-2.613884,-0.293601,0
-2.672343,-0.324427,0
-2.733856,-0.351990,0
-2.767575,-0.361979,0
-2.913128,-0.331154,0
-3.095149,-0.291164,0
-3.100476,-0.306980,0
-3.033541,-0.303713,0
-2.950633,-0.326421,0
-2.900256,-0.318098,0
-2.821811,-0.227137,0
-2.615846,-0.139143,0
-2.464142,-0.078056,0
-2.435384,-0.164787,0
-2.437816,-0.268944,0
-2.376350,-0.379486,0
-2.291589,-0.490141,0
-2.306936,-0.672962,0
-2.432880,-0.890147,0
-2.477503,-1.102803,0
-2.331614,-1.206305,0
-2.145682,-1.190392,0
-2.035951,-1.098300,0
-2.152586,-1.025267,0
-2.308005,-0.994361,0
-2.416273,-1.041962,0
-2.394849,-1.074142,0
-2.278539,-1.096161,0
-2.179529,-1.089076,0
-2.119749,-1.142533,0
-2.135312,-1.172269,0
-2.130236,-1.148161,0
-2.197399,-1.078350,0
-2.319958,-1.063083,0
-2.555510,-1.178594,0
-2.802482,-1.302541,0
-2.983172,-1.424257,0
-3.045670,-1.416255,0
-2.969950,-1.337541,0
-2.884004,-1.252770,0
-2.817115,-1.229957,0
-2.664797,-1.202624,0
-2.476033,-1.109677,0
-2.385360,-0.984680,0
-2.522495,-0.895749,0
-2.837205,-0.931637,0
-3.145223,-1.059017,0
-3.318167,-1.091871,0
-3.330871,-0.930757,0
-3.267651,-0.667870,0
-3.169786,-0.473934,0
-2.936812,-0.424876,0
-2.660225,-0.454929,0
-2.620566,-0.376304,0
-2.858291,-0.220500,0
-3.014564,-0.135539,0
-3.045807,-0.167657,0
-2.925009,-0.268439,0
-2.924927,-0.321640,0
-2.898405,-0.377448,0
-2.851515,-0.400359,0
-2.771973,-0.427182,0
-2.736028,-0.512282,0
-2.710429,-0.601398,0
-2.709025,-0.596523,0
-2.661186,-0.581831,0
-2.645346,-0.515995,0
-2.563803,-0.416808,0
-2.443125,-0.384134,0
-2.314019,-0.490630,0
-2.342653,-0.646287,0
-2.451138,-0.669097,0
-2.581446,-0.631636,0
-2.688009,-0.446648,0
-2.728511,-0.473112,0
-2.801346,-0.416483,0
-2.766742,-0.403729,0
-2.741915,-0.261260,0
-2.661734,-0.328732,0
-2.674974,-0.385069,0
-2.687078,-0.435355,0
-2.618313,-0.348666,0
-2.454299,-0.361590,0
-2.368143,-0.406367,0
-2.443530,-0.531071,0
-2.552780,-0.567434,0
-2.590049,-0.590487,0
-2.470356,-0.554905,0
-2.400986,-0.591873,0
-2.450122,-0.749492,0
-2.536132,-0.824497,0
-2.505157,-0.759921,0
-2.414781,-0.699592,0
-2.383382,-0.642801,0
-2.461730,-0.749712,0
-2.632915,-0.778316,0
-2.755970,-0.856583,0
-2.869928,-0.802766,0
-2.832698,-0.759835,0
-2.886562,-0.869581,0
-3.027819,-1.009809,0
-3.149883,-1.043784,0
-3.140676,-0.886175,0
-3.090808,-0.801572,0
-2.976493,-0.765106,0
-2.886995,-0.761039,0
-2.736550,-0.631025,0
-2.680879,-0.617400,0
-2.690550,-0.599695,0
-2.660760,-0.713520,0
-2.613302,-0.796953,0
-2.709296,-0.930005,0
-2.754744,-0.954799,0
-2.760014,-0.918853,0
-2.663642,-0.901698,0
