RHOB,GR,DEPTH_MD,NPHI,PEF,DTC,cluster
-1.491843,-0.179292,1138.704000,2.523654,-1.255364,0.869531,0
-1.387067,-0.010859,1138.856000,2.770744,-1.247886,0.690042,0
-1.320646,0.028875,1139.008000,2.524300,-1.247450,0.554350,0
-1.274390,-0.008126,1139.160000,2.068584,-1.261572,0.585297,0
-1.335919,-0.092056,1139.312000,1.617342,-1.325067,0.752808,0
-1.541988,-0.226514,1139.464000,1.245981,-1.395320,0.948455,0
-1.814704,-0.330693,1139.616000,1.073092,-1.447162,1.153114,0
-2.040411,-0.353688,1139.768000,1.204599,-1.461533,1.348404,0
-2.107929,-0.309202,1139.920000,1.358895,-1.429570,1.381713,0
-1.982950,-0.267799,1140.072000,1.569024,-1.370707,1.195255,0
-1.742465,-0.196024,1140.224000,2.008476,-1.317900,1.031452,0
-1.582113,-0.094149,1140.376000,2.294253,-1.304531,1.025273,0
-1.575427,-0.000951,1140.528000,1.982595,-1.278785,1.041289,0
-1.604276,0.063326,1140.680000,1.166651,-1.257714,1.069238,0
-1.516998,0.080420,1140.832000,0.636519,-1.251951,1.072895,0
-1.422767,0.083139,1140.984000,0.765567,-1.247170,0.953376,0
-1.378469,0.036234,1141.136000,1.072635,-1.231637,0.844297,0
-1.393660,0.003794,1141.288000,1.133276,-1.246838,0.899352,0
-1.428982,-0.010334,1141.440000,0.998843,-1.289774,1.045680,0
-1.495830,0.038780,1141.592000,1.056157,-1.312944,1.189302,0
-1.572310,0.113399,1141.744000,1.276139,-1.299451,1.250095,0
-1.584703,0.105533,1141.896000,1.374012,-1.277726,1.169349,0
-1.547887,0.093966,1142.048000,1.377825,-1.283010,1.069287,0
-1.489759,0.048158,1142.200000,1.404367,-1.281492,0.951478,0
-1.428908,0.045176,1142.352000,1.469431,-1.260113,0.858475,0
-1.353713,0.133908,1142.504000,1.416517,-1.239202,0.802278,0
-1.319529,0.222082,1142.656000,1.036711,-1.248644,0.749901,0
-1.347866,0.293922,1142.808000,0.643104,-1.273171,0.758118,0
-1.411371,0.211108,1142.960000,0.473173,-1.285773,0.826092,0
-1.453110,0.107486,1143.112000,0.458863,-1.278633,0.845681,0
-1.449737,-0.021242,1143.264000,0.377623,-1.281409,0.848683,0
-1.423968,-0.174059,1143.416000,0.257680,-1.328046,0.851139,0
-1.423842,-0.410247,1143.568000,0.349845,-1.392455,0.848402,0
-1.547900,-0.637986,1143.720000,0.555069,-1.431285,0.849882,0
-1.643151,-0.854867,1143.872000,0.638116,-1.434664,0.845783,0
-1.477562,-1.014340,1144.024000,0.568034,-1.408072,0.848611,0
-1.136533,-1.099184,1144.176000,0.551117,-1.401561,0.851124,0
-0.852960,-1.087002,1144.328000,0.595475,-1.415133,0.848501,0
-0.844710,-1.012387,1144.480000,0.814798,-1.428709,0.847202,0
-0.816513,-0.985227,1144.632000,1.161725,-1.422155,0.847217,0
-0.803484,-1.035636,1144.784000,1.427856,-1.396817,0.852418,0
-0.784976,-1.070697,1144.936000,1.427431,-1.377009,0.849870,0
-0.751303,-1.101875,1145.088000,1.236639,-1.368029,0.847203,0
-0.698097,-1.112615,1145.240000,1.079678,-1.376453,0.849763,0
-0.686756,-1.179400,1145.392000,0.989519,-1.382245,0.848573,0
-0.756866,-1.194683,1145.544000,0.955986,-1.389758,0.847203,0
-0.825634,-1.152340,1145.696000,0.857482,-1.407910,0.842130,0
-0.887105,-1.070159,1145.848000,0.882378,-1.451009,0.844431,0
-1.082417,-1.007157,1146.000000,0.899141,-1.489148,0.847216,0
-1.517148,-1.011080,1146.152000,0.954124,-1.503302,0.847204,0
-1.956480,-1.014546,1146.304000,1.044965,-1.494476,0.842210,0
-2.177896,-1.080495,1146.456000,1.233887,-1.477983,0.844349,0
-2.095844,-1.096847,1146.608000,1.451525,-1.474796,0.847215,0
-1.885107,-1.073191,1146.760000,1.495494,-1.477537,0.844729,0
-1.663641,-1.045385,1146.912000,1.526596,-1.479214,0.843292,0
-1.496316,-1.064072,1147.064000,1.569785,-1.460580,0.843280,0
-1.318123,-1.075990,1147.216000,1.444663,-1.432095,0.845707,0
-1.187374,-1.004592,1147.368000,1.155669,-1.423467,0.847215,0
-1.116798,-0.901537,1147.520000,0.972502,-1.473791,0.847205,0
-1.304604,-0.757224,1147.672000,1.003652,-1.514005,0.842396,0
-1.668652,-0.694769,1147.824000,1.265488,-1.533222,0.844165,0
-2.057366,-0.711469,1147.976000,1.540510,-1.505574,0.847214,0
-2.252415,-0.673164,1148.128000,1.718081,-1.462889,0.844823,0
-2.152164,-0.505352,1148.280000,1.801484,-1.426453,0.843291,0
-1.903518,-0.272767,1148.432000,1.839501,-1.406536,0.843281,0
-1.754728,-0.085952,1148.584000,1.722155,-1.382735,0.845614,0
-1.721505,-0.022330,1148.736000,1.263207,-1.345037,0.844847,0
-1.695331,-0.052613,1148.888000,0.729938,-1.321787,0.847947,0
-1.597771,0.012105,1149.040000,0.727463,-1.309871,0.846489,0
-1.524298,0.171342,1149.192000,1.247797,-1.294080,0.845573,0
-1.486319,0.260318,1149.344000,1.589597,-1.280568,0.842621,0
-1.511077,0.234960,1149.496000,1.646684,-1.269569,0.841649,0
-1.517917,0.112557,1149.648000,1.413790,-1.295354,0.847843,0
-1.576083,0.058871,1149.800000,1.363779,-1.322785,0.846591,0
-1.623706,0.006336,1149.952000,1.279805,-1.331782,0.843289,0
-1.634486,-0.013650,1150.104000,1.181791,-1.325468,0.843283,0
-1.650110,-0.036541,1150.256000,1.006346,-1.320327,0.847762,0
-1.735121,-0.110543,1150.408000,0.871456,-1.328670,0.846675,0
-1.749311,-0.200342,1150.560000,0.851765,-1.307685,0.843289,0
-1.632934,-0.219603,1150.712000,0.987669,-1.276811,0.843283,0
-1.419573,-0.261601,1150.864000,1.124116,-1.256058,0.845483,0
-1.327240,-0.218628,1151.016000,1.160399,-1.265725,0.847207,0
-1.353023,-0.100662,1151.168000,0.915244,-1.279537,0.845013,0
