r,g,b
1.187598259,1.075934545,0.535029911
-0.723878651,-0.325441726,0.810656207
1.364289402,1.276131155,1.237876968
0.400519532,0.358563359,-0.071347943
0.882404467,0.725590477,0.066465206
0.978781454,0.859054884,0.273184928
0.882404467,0.758956579,0.190497039
-0.563250339,-0.742517997,-1.22897839
-1.157575093,-1.259692574,-1.408135483
0.769964649,0.658858274,-0.016222683
1.235786753,1.142666749,0.548811225
0.609336337,0.492027766,-0.154035832
1.155472597,1.075934545,1.100063819
-1.157575093,-1.259692574,-1.408135483
-1.045135275,-0.458906133,1.816692191
0.753901818,0.642175223,-0.030003998
0.079262908,0.441978613,1.417034061
1.187598259,1.075934545,0.548811225
0.882404467,0.742273528,0.121590465
-1.992842315,-2.160577319,-1.697543095
0.464770856,0.358563359,-0.31941161
0.448708025,0.39192946,-0.181598462
-0.354433534,0.125000647,1.168970394
0.529022181,0.475344715,-0.016222683
0.480833687,0.825688782,1.49972195
0.898467298,0.809005732,0.16293441
1.091221272,0.992519291,0.424779392
-0.418684859,0.175049799,1.01737593
0.753901818,0.592126071,-0.057566628
0.753901818,0.642175223,-0.043785313
1.155472597,1.059251494,0.479904651
-0.049239742,0.408612511,1.375690116
1.091221272,0.992519291,0.424779392
0.673587662,0.525393867,-0.140254517
0.818153142,0.725590477,-0.016222683
-1.832214003,-1.97706376,-1.62863652
0.898467298,1.009202342,1.706441673
2.087116806,2.043551494,1.816692191
0.609336337,0.492027766,-0.154035832
0.175639895,0.024902342,-0.595037907
0.850278805,0.708907427,0.10780915
0.464770856,0.408612511,-0.071347943
0.65752483,0.508710816,-0.057566628
0.882404467,0.742273528,0.121590465
1.091221272,0.992519291,0.424779392
-0.884506963,-1.026129862,-1.408135483
0.529022181,0.758956579,1.513503265
0.143514233,0.058268443,-0.236723721
0.400519532,0.925787088,1.789129562
-1.221826418,-1.426523082,-1.463260742
1.203661091,1.092617596,0.548811225
-1.880402496,-2.210626472,-0.705288426
-1.687648522,-1.092862065,-0.994696037
-0.274119378,-0.392173929,-0.884445519
0.882404467,0.742273528,0.121590465
0.65752483,0.558759969,-0.071347943
-1.205763587,-0.742517997,0.176715725
0.866341636,1.009202342,1.623753783
1.219723922,1.125983698,0.535029911
0.705713324,0.825688782,1.582409839
0.400519532,0.325197257,-0.31941161
-1.157575093,-0.625736641,0.342091503
-1.189700756,-0.475589184,0.521248596
-0.579313171,-0.20866037,0.796874893
-1.141512262,-1.243009523,-1.394354168
-1.157575093,-0.342124777,0.796874893
0.11138857,-0.00846376,0.121590465
-1.189700756,-1.276375624,-1.353010224
0.127451401,0.108317596,-0.34697424
0.914530129,0.842371833,0.603936485
-1.80008834,-2.093845116,0.865781467
-1.976779483,-2.210626472,-1.697543095
0.834215973,0.725590477,0.038902576
-1.1093866,-0.99276376,0.094027835
-0.290182209,-0.442223082,-1.008477352
-1.125449431,-1.276375624,-1.394354168
0.352331038,0.959153189,1.789129562
-0.98088395,-1.276375624,-1.435698113
-1.543083042,-1.743501048,-1.601073891
-1.157575093,-1.259692574,-1.394354168
0.753901818,0.625492172,-0.016222683
0.673587662,0.508710816,-0.126473202
-0.852381301,-0.842616302,-0.016222683
-1.751899847,-1.960380709,-1.68376178
-1.125449431,-1.209643421,-1.408135483
-1.237889249,-0.358807828,0.769312263
-2.008905146,-2.160577319,0.810656207
0.063200077,-0.00846376,-0.415880814
0.400519532,0.592126071,1.458378005
0.978781454,0.909104037,0.273184928
-0.820255638,0.508710816,-0.636381851
-1.543083042,-0.959397658,-0.967133408
-1.189700756,-1.343107828,-1.532167317
0.978781454,0.875737935,0.245622299
1.797985844,1.55974302,1.306783542
0.529022181,0.19173285,0.121590465
1.926488494,1.776622681,1.334346172
0.320205376,0.57544302,1.403252746
0.496896519,0.408612511,-0.222942406
0.223828389,0.125000647,-0.457224758
0.529022181,0.825688782,0.066465206
-0.595376002,-1.760184099,-1.353010224
0.802090311,0.658858274,0.052683891
-1.013009613,-0.258709523,0.700405689
0.23989122,0.108317596,-0.581256592
-0.354433534,-0.458906133,-0.74663237
1.187598259,1.092617596,0.507467281
0.914530129,0.77563963,0.16293441
-0.852381301,-0.825933251,-0.030003998
0.529022181,0.37524641,-0.264286351
-0.145616729,-0.258709523,-0.774195
-1.1093866,-1.243009523,-1.394354168
-1.205763587,0.525393867,-0.994696037
0.882404467,0.742273528,0.121590465
0.753901818,0.658858274,0.038902576
-0.900569794,-1.042812913,-1.339228909
-1.494894548,-1.693451896,-1.697543095
-1.125449431,-0.358807828,0.645280429
0.480833687,0.425295562,-0.140254517
0.625399168,0.475344715,-0.002441368
1.123346935,1.009202342,0.410998077
0.368393869,0.291831155,-0.34697424
-1.767962678,-2.110528167,0.879562782
0.850278805,0.725590477,0.066465206
-1.189700756,-0.358807828,0.741749633
0.593273506,0.458661664,-0.154035832
0.529022181,0.492027766,0.038902576
-1.719774185,-1.910331557,-1.614855206
-1.735837016,-1.960380709,-1.642417835
-0.113491066,-0.20866037,-0.760413685
-1.880402496,-2.060479014,-1.601073891
0.561147843,0.658858274,1.417034061
-0.788129976,-0.976080709,-1.104946556
-0.193805222,0.291831155,1.196533023
-0.964821119,-0.00846376,1.07250119
0.818153142,0.792322681,0.066465206
0.882404467,1.35954641,0.741749633
-0.498999015,0.125000647,1.293002227
1.075158441,0.959153189,0.355872818
-0.03317691,0.358563359,1.375690116
1.155472597,1.042568444,0.507467281
-0.756004314,-0.859299353,-1.25654102
-0.290182209,-0.375490879,0.576373855
0.914530129,0.77563963,0.16293441
0.721776155,0.525393867,-0.085129258
0.930592961,0.859054884,0.259403614
0.914530129,0.792322681,0.121590465
0.223828389,0.141683698,-0.471006073
-1.703711353,-1.876965455,-1.559729946
0.448708025,0.408612511,-0.098910572
0.834215973,0.758956579,0.176715725
0.850278805,0.708907427,0.10780915
-0.225930885,-0.342124777,-0.925789463
-0.03317691,0.508710816,1.224095653
-1.976779483,-2.210626472,-1.697543095
0.416582363,0.341880308,-0.402099499
-0.884506963,-1.026129862,-1.325447594
0.255954051,0.19173285,-0.388318184
0.753901818,0.608809121,0.011339946
-0.450810521,0.175049799,1.348127487
0.191702726,0.125000647,-0.443443444
0.593273506,0.441978613,-0.126473202
-1.205763587,-1.376473929,-1.504604687
-1.029072444,-0.842616302,0.149153095
0.031074414,-0.041829862,-0.663944481
1.123346935,-0.40885698,0.59015517
1.075158441,0.992519291,0.286966243
0.464770856,0.358563359,-0.209161091
-0.788129976,-0.759201048,0.10780915
-1.125449431,-0.675785794,0.176715725
0.368393869,0.959153189,1.816692191
-1.157575093,-1.259692574,-1.394354168
