x,y
-3.400704061,-0.528110851
-3.406954928,-0.351787132
-3.196401772,-0.298652483
-2.968970792,-0.316357802
-2.866904631,-0.389116979
-2.878401772,-0.542520201
-3.021941557,-0.692940075
-3.289404841,-0.771100607
-3.412183149,-0.761161506
-3.35264074,-0.707562244
-3.365926877,-0.593425064
-3.437975641,-0.464424227
-3.304534012,-0.392178643
-2.94915086,-0.355944705
-2.65794636,-0.322305675
-2.613884077,-0.293601457
-2.672343165,-0.324427013
-2.733855969,-0.351989608
-2.767574996,-0.361978609
-2.913128157,-0.331153766
-3.095149453,-0.291164373
-3.100476086,-0.306980191
-3.0335408,-0.303712959
-2.950632527,-0.326421418
-2.90025554,-0.31809763
-2.821811333,-0.227136526
-2.615846085,-0.139143296
-2.464142119,-0.078055584
-2.435383634,-0.164786957
-2.437815768,-0.268944446
-2.376350175,-0.37948621
-2.291588668,-0.49014112
-2.306935985,-0.672961765
-2.432879971,-0.890147282
-2.477502904,-1.102803355
-2.331613921,-1.206305285
-2.145681542,-1.190391831
-2.035951356,-1.09830007
-2.152585731,-1.025267282
-2.308004735,-0.994361231
-2.416272616,-1.041961884
-2.394848575,-1.074141976
-2.278539421,-1.096160874
-2.179529127,-1.089076166
-2.119749065,-1.142532973
-2.135312197,-1.172268649
-2.130235648,-1.148160575
-2.197399074,-1.078350111
-2.319957669,-1.063082904
-2.555509834,-1.178593976
-2.802481597,-1.302541441
-2.983172057,-1.424257217
-3.045670341,-1.416254502
-2.969950339,-1.337540747
-2.884003854,-1.252769585
-2.817114901,-1.229957169
-2.664797426,-1.202624238
-2.476033244,-1.109677081
-2.385359759,-0.98468009
-2.522495093,-0.895749017
-2.837205119,-0.931637093
-3.145223485,-1.059016916
-3.318166532,-1.091870623
-3.330870754,-0.930757216
-3.267651355,-0.667869709
-3.169786349,-0.473934113
-2.936811995,-0.424876358
-2.660225123,-0.454928728
-2.620566404,-0.376303626
-2.858291421,-0.220500286
-3.014563783,-0.135538851
-3.045807312,-0.167656542
-2.9250095,-0.268438836
-2.924926683,-0.321639539
