NPHI,RHOB,,,
2.523653796,-1.49184345,,,
2.770743584,-1.387066813,,,
2.524300366,-1.320646472,,,
2.068584401,-1.274389863,,,
1.617341756,-1.335918767,,,
1.24598086,-1.541987906,,,
1.073092,-1.81470388,,,
1.20459912,-2.040410791,,,
1.358894608,-2.107929016,,,
1.569023738,-1.982950265,,,
2.008475693,-1.742465274,,,
2.294253038,-1.582112568,,,
1.982594925,-1.575426703,,,
1.166651479,-1.604276373,,,
0.636519206,-1.516998126,,,
0.765566792,-1.422767243,,,
1.07263469,-1.378469483,,,
1.133276069,-1.393659805,,,
0.998843114,-1.428982111,,,
1.056156586,-1.495830329,,,
1.276138836,-1.572309792,,,
1.374012348,-1.584703044,,,
1.377824968,-1.547887198,,,
1.404366865,-1.48975856,,,
1.469430607,-1.428908192,,,
1.416517235,-1.353712832,,,
1.036710684,-1.319528686,,,
0.643103511,-1.347865662,,,
0.473172813,-1.411371422,,,
0.4588635,-1.453109979,,,
0.377622671,-1.449737195,,,
0.257680154,-1.42396795,,,
0.349844798,-1.423841909,,,
0.555069205,-1.547899518,,,
0.638116361,-1.643150575,,,
0.56803421,-1.477561951,,,
0.55111678,-1.13653265,,,
0.595474881,-0.852959608,,,
0.814797716,-0.844709603,,,
1.161725132,-0.816513356,,,
1.427856182,-0.803484214,,,
1.427430988,-0.784975599,,,
1.236639,-0.751303199,,,
1.079677589,-0.698097272,,,
0.989518809,-0.686756416,,,
0.955986253,-0.756865592,,,
0.857482015,-0.825633804,,,
0.882378371,-0.8871049,,,
0.899140795,-1.082417426,,,
0.954123619,-1.517147859,,,
1.044964509,-1.956480213,,,
1.233886583,-2.177895566,,,
1.451524911,-2.095844233,,,
1.495493786,-1.88510731,,,
1.526596353,-1.663641256,,,
1.56978549,-1.496316014,,,
1.444663138,-1.318122807,,,
1.155669215,-1.187374122,,,
0.97250204,-1.116797741,,,
1.003652136,-1.304603714,,,
1.265487566,-1.668651627,,,
1.54050959,-2.057366161,,,
1.718081156,-2.252414759,,,
1.801483925,-2.152163755,,,
1.839501362,-1.903517839,,,
1.722155401,-1.754728219,,,
1.263207444,-1.721505018,,,
0.72993781,-1.695330642,,,
0.727462861,-1.597771042,,,
1.24779725,-1.524297611,,,
1.589597497,-1.486318965,,,
1.646684455,-1.511076563,,,
1.413789653,-1.517917373,,,
1.36377942,-1.57608297,,,
1.279805443,-1.62370613,,,
1.181791056,-1.634485961,,,
1.006346319,-1.650110318,,,
0.871456055,-1.735120774,,,
0.851765227,-1.749311295,,,
0.987669021,-1.632934138,,,
1.12411619,-1.419573096,,,
1.160399022,-1.327239937,,,
0.915244233,-1.353022923,,,
0.606952562,-1.389144122,,,
0.364076181,-1.404382301,,,
0.481341214,-1.414512025,,,
0.704245446,-1.432309881,,,
0.981792945,-1.414567464,,,
1.141398439,-1.392330687,,,
1.177063818,-1.44370665,,,
1.243591122,-1.502658819,,,
1.162905228,-1.513054366,,,
1.13031341,-1.440324389,,,
1.039295677,-1.391632249,,,
1.051374112,-1.425126012,,,
1.013747614,-1.500229448,,,
0.826667621,-1.508947606,,,
0.587491031,-1.428690227,,,
0.580296766,-1.298265648,,,
0.881084375,-1.221780024,,,
1.128371988,-1.227465615,,,
1.204517764,-1.242551218,,,
0.933722849,-1.247325617,,,
0.8649925,-1.194151911,,,
1.02416809,-1.210981714,,,
1.226271192,-1.218597724,,,
1.131638236,-1.213254245,,,
0.934923499,-1.18747884,,,
0.70963167,-1.302647708,,,
0.608445239,-1.567356283,,,
0.619138044,-1.870325911,,,
0.779694553,-1.982439941,,,
1.009836082,-1.964973772,,,
0.960829102,-1.904807628,,,
0.932236167,-2.058602406,,,
1.029788963,-2.297722742,,,
1.293355144,-2.327014504,,,
1.390252378,-2.173469439,,,
1.430822695,-2.004216621,,,
1.288109795,-1.91137835,,,
1.133802745,-1.883533218,,,
0.900239535,-1.764203572,,,
0.782384026,-1.74907248,,,
0.756491268,-1.78842905,,,
0.620089915,-1.898214636,,,
0.531944706,-1.939751338,,,
0.888515216,-1.867566749,,,
1.233266989,-1.653170842,,,
1.358111874,-1.52931888,,,
1.158936747,-1.51206736,,,
1.002290914,-1.595899853,,,
1.117572135,-1.594859303,,,
1.29963372,-1.662921969,,,
1.546684544,-1.771937568,,,
1.803654001,-1.892951236,,,
1.739333171,-1.932852246,,,
1.591900312,-2.030141284,,,
1.337702112,-2.105931786,,,
1.249116937,-2.00657918,,,
1.150658515,-1.831772972,,,
1.211809014,-1.657957087,,,
1.090781887,-1.698009252,,,
1.015040753,-1.668644045,,,
0.808072536,-1.677791502,,,
0.895728107,-1.670329016,,,
1.016730826,-1.692514144,,,
1.16772881,-1.669338693,,,
0.983885946,-1.616639299,,,
1.006442234,-1.587337587,,,
0.750358277,-1.645154913,,,
0.68072016,-1.712397364,,,
0.693182254,-1.589023505,,,
0.794082226,-1.595484296,,,
0.784426928,-1.612683693,,,
0.689904446,-1.606176941,,,
0.826408993,-1.592220021,,,
1.071461017,-1.608317744,,,
1.189288266,-1.629561828,,,
1.42746353,-1.629081356,,,
1.732064186,-1.678234067,,,
1.623868256,-1.822894183,,,
1.273636055,-1.961700495,,,
0.823293898,-1.954328038,,,
0.632101123,-1.773289903,,,
0.561594634,-1.574752905,,,
0.527189851,-1.46807191,,,
0.428746202,-1.520736713,,,
0.448165342,-1.655125901,,,
0.466591505,-1.816979254,,,
0.684932711,-1.933029462,,,
0.891651292,-2.019545777,,,
1.269044983,-2.04632335,,,
1.590675255,-2.010839938,,,
1.371518987,-1.864584881,,,
1.081502971,-1.678712644,,,
0.909610941,-1.56607597,,,
1.058022217,-1.56030035,,,
0.922169807,-1.573200609,,,
0.750531266,-1.579270009,,,
0.94401187,-1.575115391,,,
1.141735426,-1.618061763,,,
1.290807831,-1.687241741,,,
1.087462116,-1.720118566,,,
1.004024663,-1.690890773,,,
0.768031037,-1.601783982,,,
0.664225356,-1.519486253,,,
0.705382295,-1.470504598,,,
0.86874089,-1.47844803,,,
0.894523603,-1.512130855,,,
0.993247504,-1.508263383,,,
0.881120343,-1.459345222,,,
0.62636635,-1.379480181,,,
0.34729042,-1.311200023,,,
0.255887315,-1.306382979,,,
0.493530336,-1.309052112,,,
0.605668843,-1.324283658,,,
0.893598281,-1.277619073,,,
0.860458377,-1.246315393,,,
0.603220442,-1.236623496,,,
0.435005295,-1.280254565,,,
0.485330035,-1.262856155,,,
0.593144233,-1.15881918,,,
0.593036543,-1.044104249,,,
0.53093032,-1.074641259,,,
0.432095732,-1.269153471,,,
0.279127638,-1.440929481,,,
0.374843278,-1.492838512,,,
0.66266374,-1.373873722,,,
0.983192275,-1.261954913,,,
0.938650481,-1.236369518,,,
0.512880538,-1.282610491,,,
0.263579566,-1.279690222,,,
0.463584957,-1.218746983,,,
0.867050818,-1.172262458,,,
1.178333407,-1.178791955,,,
1.198573177,-1.169944913,,,
1.076348826,-1.133201564,,,
0.859731735,-1.083715744,,,
0.760983428,-1.072817927,,,
0.712977989,-1.091140797,,,
0.59968422,-1.114289239,,,
0.514675517,-1.125737656,,,
0.7819781,-1.104283187,,,
0.802664902,-1.024621897,,,
0.583220674,-0.955872638,,,
0.296568104,-0.942222293,,,
0.138411611,-0.942501384,,,
0.05238895,-0.955431021,,,
0.052999765,-0.989578207,,,
0.204926924,-1.056806917,,,
0.175167594,-1.092163814,,,
0.089598602,-1.073858477,,,
0.043101898,-1.011405113,,,
0.178480087,-0.931802579,,,
0.139807945,-0.85957108,,,
-0.016483346,-0.822669943,,,
-0.149938097,-0.832117339,,,
-0.089661324,-0.86105846,,,
0.025821147,-0.871999869,,,
0.102686071,-0.871689979,,,
0.130204245,-0.853677948,,,
0.139269065,-0.844319634,,,
0.219578792,-0.857536417,,,
0.216406319,-0.908446596,,,
0.21905811,-0.979653656,,,
0.288860866,-1.009256255,,,
0.399546091,-0.98974026,,,
0.332228987,-0.9266022,,,
0.160654248,-0.841496502,,,
0.043724917,-0.763450055,,,
0.005200715,-0.73412086,,,
0.064274911,-0.779047403,,,
0.035340922,-0.84453523,,,
0.05944919,-0.889165625,,,
-0.016626576,-0.921678068,,,
0.045980845,-0.963367819,,,
0.196995956,-1.006406115,,,
0.388913018,-1.031040516,,,
0.416130387,-1.052630977,,,
0.376707196,-1.078619135,,,
0.34536163,-1.128721419,,,
0.460951149,-1.176842583,,,
0.442825362,-1.203761834,,,
0.354767505,-1.204007282,,,
0.300721993,-1.207098606,,,
0.278147079,-1.220476494,,,
0.349794914,-1.252318456,,,
0.384779254,-1.284318205,,,
0.503677197,-1.317423421,,,
0.774910794,-1.330534064,,,
0.835655367,-1.301692449,,,
0.7496706,-1.259114724,,,
0.573983721,-1.223236131,,,
0.649415058,-1.231700312,,,
0.776105021,-1.264576189,,,
0.697281334,-1.298610129,,,
0.463425241,-1.333121224,,,
0.375990832,-1.356174898,,,
0.655752724,-1.367738458,,,
1.038536494,-1.375648248,,,
1.235412659,-1.395204519,,,
1.068099711,-1.420385256,,,
0.983469744,-1.434518917,,,
0.939591218,-1.434120892,,,
0.990116993,-1.462160298,,,
0.963136629,-1.512515612,,,
1.088295377,-1.552125685,,,
1.026883254,-1.56228147,,,
0.756550786,-1.548385676,,,
0.511349751,-1.535656473,,,
0.791699338,-1.550867643,,,
1.170792093,-1.583819335,,,
1.252468394,-1.605794553,,,
1.059553003,-1.604657814,,,
0.864815656,-1.610166189,,,
0.978159737,-1.607482366,,,
0.988012002,-1.540533694,,,
0.936788275,-1.417048483,,,
0.865716144,-1.341702442,,,
0.800344102,-1.373579468,,,
0.775662699,-1.469565449,,,
0.701986306,-1.557035602,,,
0.653339436,-1.584192246,,,
0.636317955,-1.558663238,,,
0.521916669,-1.511009278,,,
0.503140673,-1.500612783,,,
0.474715589,-1.536980378,,,
0.553101663,-1.596750393,,,
0.726857826,-1.671687511,,,
1.028557484,-1.744603234,,,
1.190600674,-1.786388701,,,
1.340013919,-1.791067858,,,
1.323337133,-1.801153989,,,
1.361344722,-1.860081044,,,
1.275822831,-1.937921373,,,
1.153231091,-1.96270598,,,
1.027779459,-1.934045372,,,
1.045117802,-1.91283493,,,
1.176766654,-1.958587374,,,
1.506416531,-2.035101428,,,
1.536080373,-2.068667214,,,
1.600526236,-2.036964561,,,
1.520378152,-1.99215553,,,
1.427783389,-1.97960449,,,
1.33080437,-2.000308399,,,
1.241158564,-2.014754793,,,
1.0833549,-1.991132986,,,
0.888450559,-1.915893085,,,
0.769930495,-1.831877691,,,
0.777533469,-1.843063601,,,
0.703321836,-1.954138976,,,
0.595723661,-2.038575613,,,
0.49435225,-1.980140402,,,
0.576034545,-1.807069391,,,
0.750574085,-1.676993557,,,
0.99093955,-1.671164868,,,
1.073580138,-1.732358294,,,
1.171376147,-1.782574299,,,
1.13875564,-1.796097656,,,
0.937064887,-1.796341683,,,
0.812513741,-1.806092809,,,
0.904070996,-1.820842461,,,
1.048426011,-1.805885742,,,
1.010597835,-1.737215141,,,
0.952231868,-1.640331709,,,
1.083721005,-1.554226212,,,
1.344989936,-1.548943858,,,
1.469157421,-1.662411645,,,
1.511166034,-1.801067276,,,
1.456286404,-1.82116325,,,
1.376092932,-1.663158415,,,
1.417493084,-1.451152551,,,
1.431961256,-1.309911655,,,
1.362473435,-1.254514224,,,
1.176061422,-1.252871426,,,
0.938969911,-1.270175067,,,
0.615040677,-1.273544535,,,
0.067202459,-1.229351493,,,
-0.501380795,-1.170478455,,,
-0.783337814,-1.137841866,,,
-0.674796546,-1.147490644,,,
-0.353868507,-1.176219011,,,
-0.021305642,-1.188762943,,,
0.31728488,-1.177241555,,,
0.526466421,-1.161725233,,,
0.514720906,-1.155544954,,,
0.358410775,-1.155162093,,,
0.245179737,-1.157727455,,,
0.225417401,-1.166989107,,,
0.284222265,-1.171658787,,,
0.467446604,-1.14978118,,,
0.661189476,-1.107588212,,,
0.598804714,-1.066326337,,,
0.279566321,-1.044885609,,,
0.191897048,-1.048485362,,,
0.460115533,-1.063965199,,,
0.711642887,-1.06178791,,,
0.666203174,-1.038583555,,,
0.415795541,-1.023715443,,,
0.277567094,-1.037689421,,,
0.29013752,-1.069408184,,,
0.426170628,-1.094095181,,,
0.578388529,-1.101849078,,,
0.614747365,-1.101196128,,,
0.515306244,-1.099520634,,,
0.43373014,-1.096274839,,,
0.607173723,-1.088824199,,,
0.826355041,-1.083797718,,,
0.83715832,-1.123879261,,,
0.682489021,-1.211733696,,,
0.559374245,-1.289040482,,,
0.537219173,-1.298094592,,,
0.472809921,-1.240076359,,,
0.28768655,-1.187685434,,,
0.126046288,-1.182702546,,,
0.12898925,-1.191919183,,,
0.421687032,-1.173656491,,,
0.820085028,-1.141441145,,,
0.856160187,-1.137597839,,,
0.614065256,-1.170501199,,,
0.444042283,-1.207296671,,,
0.542628092,-1.226088166,,,
0.663682409,-1.219799379,,,
0.566910634,-1.185594384,,,
0.46913261,-1.123144337,,,
0.530359755,-1.024719034,,,
0.621516222,-0.923758694,,,
0.721667285,-0.867595065,,,
0.810557761,-0.868759287,,,
0.838585911,-0.914399905,,,
0.821858599,-0.974128222,,,
0.725727828,-1.018395656,,,
0.70684928,-1.089563387,,,
0.679449287,-1.131537442,,,
0.623899109,-1.165266703,,,
0.550201734,-1.182785468,,,
0.574294374,-1.174769538,,,
0.602257011,-1.131846385,,,
0.506980054,-1.055348916,,,
0.250656524,-0.997304621,,,
-0.017955898,-0.996253173,,,
-0.092313543,-1.051704622,,,
0.072020259,-1.144349093,,,
0.392519249,-1.254400503,,,
0.760550526,-1.363966228,,,
0.936110447,-1.443317628,,,
0.939297907,-1.454866499,,,
0.786713472,-1.392019849,,,
0.657859857,-1.311964325,,,
0.622134102,-1.28959819,,,
0.784763487,-1.332867246,,,
0.903057466,-1.39520831,,,
0.918250567,-1.434565827,,,
0.810786416,-1.440305909,,,
0.67863144,-1.405593433,,,
0.56187146,-1.357860816,,,
0.474616676,-1.351006266,,,
0.485163254,-1.424038552,,,
0.640185812,-1.544683574,,,
0.82863345,-1.621955296,,,
1.023737328,-1.62482202,,,
1.009270012,-1.588797958,,,
0.891143029,-1.602704177,,,
0.746376093,-1.667540001,,,
0.768284098,-1.730094293,,,
1.000207333,-1.749349676,,,
1.060788336,-1.694971472,,,
0.913379457,-1.582906248,,,
0.780212665,-1.462093487,,,
0.782120687,-1.445128639,,,
0.958293779,-1.553690774,,,
0.97746992,-1.70207621,,,
0.957453667,-1.795106385,,,
0.818523413,-1.819521399,,,
0.644202251,-1.789422216,,,
0.644279326,-1.715450781,,,
0.825162955,-1.620520038,,,
0.950387218,-1.533899005,,,
0.830212193,-1.499147674,,,
0.63823754,-1.483599604,,,
0.644818419,-1.475486064,,,
0.615718505,-1.461906321,,,
0.552990119,-1.503398481,,,
0.581969712,-1.593358656,,,
0.689586728,-1.672841309,,,
0.624006585,-1.674784047,,,
0.490492529,-1.634297847,,,
0.652741252,-1.618865867,,,
1.12620962,-1.648209751,,,
1.323883506,-1.670894306,,,
1.292896979,-1.652141191,,,
1.093723565,-1.617845219,,,
1.12918855,-1.60225782,,,
1.035518169,-1.606221482,,,
0.826435541,-1.600273858,,,
0.603734487,-1.555281925,,,
0.53935007,-1.495684387,,,
0.624197987,-1.506266153,,,
0.766957131,-1.628602305,,,
0.892713208,-1.791142724,,,
0.97818286,-1.865046874,,,
0.794769901,-1.798634114,,,
0.599207857,-1.646088375,,,
0.407555418,-1.518450915,,,
0.423045042,-1.460967172,,,
0.433128744,-1.445305381,,,
0.524712333,-1.419734201,,,
0.530156792,-1.380684679,,,
0.574117745,-1.364246267,,,
0.530813638,-1.365937871,,,
0.558287066,-1.352573724,,,
0.556975515,-1.346900927,,,
0.655095022,-1.40666336,,,
0.819981834,-1.496408886,,,
0.917606995,-1.587206334,,,
0.949210546,-1.617786937,,,
0.907185234,-1.579999247,,,
0.856650467,-1.397211226,,,
0.799474873,-1.116406824,,,
0.517153249,-0.872589799,,,
0.365530534,-0.803635368,,,
0.242048584,-0.848505998,,,
0.384373971,-0.917800172,,,
0.401099784,-0.957835752,,,
0.427567818,-0.981576493,,,
0.374927417,-0.979869726,,,
0.373698079,-0.965355098,,,
0.588016422,-0.943138697,,,
0.377169429,-1.014549034,,,
-0.023452167,-1.200489977,,,
-0.553554681,-1.371025951,,,
-0.51264909,-1.3589895,,,
-0.049226102,-1.195126597,,,
0.16532111,-1.065086301,,,
0.384094576,-1.0989326,,,
0.492013895,-1.19514176,,,
0.606932651,-1.236255323,,,
0.73761486,-1.24051229,,,
0.610772675,-1.221926441,,,
0.481559164,-1.211039048,,,
0.198792007,-1.21645076,,,
0.279593511,-1.234321588,,,
0.434187449,-1.264213229,,,
0.565405968,-1.250360554,,,
0.306254231,-1.176794725,,,
0.078533912,-1.075040705,,,
-0.066811725,-0.983677968,,,
0.025250582,-0.946731342,,,
0.359916512,-0.923900371,,,
0.708935858,-0.915609142,,,
0.992083678,-0.90565616,,,
0.946403321,-0.912236832,,,
0.889473509,-0.941214912,,,
0.771454858,-0.9511551,,,
0.617063027,-0.955193627,,,
0.462059524,-0.942087249,,,
0.555720699,-0.999529768,,,
0.607501932,-1.101755732,,,
0.723049488,-1.171101079,,,
0.717856806,-1.179736316,,,
0.727838385,-1.184288484,,,
0.605765186,-1.208883556,,,
0.197052477,-1.195485293,,,
0.013278554,-1.08359918,,,
0.072226862,-0.947626897,,,
0.334217082,-0.889864537,,,
0.700524031,-0.960632822,,,
0.864604986,-1.087845722,,,
1.092624825,-1.223429931,,,
1.378865902,-1.292166396,,,
1.509407878,-1.318226103,,,
1.33473303,-1.325674374,,,
1.025881713,-1.324727644,,,
0.779549824,-1.36578719,,,
0.824870928,-1.422307145,,,
0.690922686,-1.469917511,,,
0.636589429,-1.40729404,,,
0.551961389,-1.373439685,,,
0.779076672,-1.457058476,,,
1.006976617,-1.624420678,,,
1.410467313,-1.711625007,,,
1.309517671,-1.666853883,,,
1.093336051,-1.579675615,,,
0.897676379,-1.522324073,,,
0.913276263,-1.505424615,,,
0.911692381,-1.501829127,,,
0.63039435,-1.495140894,,,
0.522639671,-1.497915693,,,
0.584232063,-1.500293416,,,
0.79922224,-1.510602251,,,
0.786904874,-1.533949706,,,
0.742641404,-1.586926295,,,
0.612257858,-1.59874478,,,
0.49810578,-1.545130404,,,
0.31496772,-1.47441661,,,
0.251338419,-1.452977304,,,
0.468285432,-1.489185689,,,
0.766051506,-1.479870494,,,
1.006180181,-1.405293967,,,
1.006826322,-1.302964706,,,
0.862613466,-1.252218476,,,
0.800376216,-1.272167559,,,
0.758188192,-1.321180014,,,
0.85393359,-1.387906929,,,
0.74164072,-1.463702643,,,
0.59796032,-1.575851263,,,
0.644132028,-1.65482833,,,
0.73202867,-1.681519665,,,
0.912821523,-1.649600941,,,
0.892732905,-1.629728146,,,
1.056819427,-1.653023005,,,
1.509911004,-1.739691895,,,
1.594124769,-1.730249712,,,
1.390445493,-1.675012438,,,
0.837213128,-1.499780249,,,
0.546617983,-1.312846613,,,
0.481584427,-1.201635719,,,
0.566863961,-1.194935166,,,
0.583452326,-1.244075557,,,
0.567090689,-1.263623774,,,
0.514265738,-1.228226126,,,
0.529873971,-1.261500976,,,
0.674362368,-1.393429519,,,
0.918008638,-1.555501312,,,
1.356392256,-1.689808525,,,
1.526073531,-1.767879139,,,
1.527412487,-1.810744484,,,
1.501554841,-1.855368719,,,
1.528974959,-1.884566186,,,
1.381273625,-1.824681028,,,
1.104108929,-1.696490599,,,
0.744587108,-1.569105221,,,
0.714218032,-1.51115759,,,
0.726477592,-1.489694592,,,
1.00643838,-1.513782183,,,
1.197683823,-1.567187122,,,
1.212396493,-1.604790488,,,
1.104960602,-1.5932691,,,
1.006282946,-1.555014205,,,
1.220865271,-1.523758383,,,
1.265862234,-1.497466494,,,
1.147449218,-1.510702231,,,
0.768728132,-1.572410246,,,
0.708632271,-1.625027192,,,
0.697502709,-1.642426549,,,
0.807381434,-1.580305347,,,
0.785668685,-1.467004351,,,
0.94696468,-1.365662097,,,
1.051118481,-1.295885556,,,
1.000305389,-1.252944397,,,
0.820139409,-1.205757169,,,
0.772564303,-1.174921167,,,
0.737312557,-1.128377412,,,
0.549119908,-1.111332012,,,
0.26045034,-1.102007814,,,
0.286530004,-1.141031275,,,
0.677502299,-1.164732687,,,
1.059304223,-1.176456404,,,
1.32525843,-1.174114219,,,
1.265586906,-1.19740813,,,
1.072065196,-1.23004851,,,
0.760308597,-1.24278719,,,
0.623262816,-1.217098498,,,
0.643278213,-1.192980582,,,
0.59500858,-1.186439238,,,
0.662056136,-1.208720082,,,
0.715222998,-1.231884161,,,
0.735572814,-1.270391138,,,
0.653031566,-1.294674424,,,
0.58497626,-1.284373645,,,
0.661228441,-1.230596742,,,
0.879918838,-1.195750643,,,
0.915071671,-1.189858458,,,
0.893495942,-1.197885286,,,
0.627013348,-1.186352052,,,
0.421366317,-1.161149992,,,
0.265504503,-1.121277886,,,
0.39683478,-1.07339838,,,
0.557497052,-1.034240349,,,
0.70741535,-1.051124643,,,
0.72955886,-1.107337078,,,
